article,first main,first talk,reason,comment
Chhattisgarh Swami Vivekanand Technical University,20130709044325,20071205123135,unknown,
Chiang Kai-shek,20011025121156,20011023195120,great oops,
"Chiaotou, Kaohsiung",20091203093234,20080116134539,unknown,
"Chiaserna, Italy",20110718063546,20110715210834,unknown,
Chiayi City,20150808160105,20070315235820,unknown,
Chicago College of Performing Arts,20060531151705,20060523164436,copyright,Copyvio - to be replaced
Chicago-style Pizza,20121025033845,20050501145545,unknown,
Chick (film),20150706012236,20130102105610,unknown,
Chicken & Beer,20060706195035,20050416195952,unknown,
Chicken Out (disambiguation),20110801142237,20081118122246,unknown,
Chicken sexing,20070906135940,20040329220505,unknown,
Chickpete metro station,20170103181346,20150816024119,unknown,
Chicle,20100501161249,20040911195848,unknown,
Chief Buffalo (disambiguation),20080318124522,20080129031006,unknown,
Chief Minister of Gilgit–Baltistan,20150319041630,20130326052803,unknown,
Chief Secretary (India),20160717203734,20160716164614,copyright,"[[WP:CSD#G12|G12]]: Unambiguous [[WP:CV|copyright infringement]]: from http://iksa.in/gs2/describe-the-role-and-importance-of-chief-secretary-in-state-government/2591/; [[WP:CSD#A10|A10]]: Recently created article that duplicates an existing topic, [[:..."
Chief Tecopa,20150826063732,20081114030814,unknown,
Chief complaint,20120705225355,20061122134818,unknown,
Chiflik (Ottoman Empire),20140304211714,20091112070153,unknown,
Chihsingtan Beach,20160715011259,20141205013124,unknown,
Chihuahua white pine,20150323044228,20070308232443,unknown,
"Chikhale, Panvel",20070526123109,20061121062701,unknown,
Chilblain,20090529010244,20060109212342,unknown,
Chilcotin Plateau Basalts,20090303153128,20061216083243,unknown,
Child (song),20061110082036,20060805185604,unknown,
Child Abuse Reform and Enforcement Act,20110531173519,20110529074057,unknown,
Child abduction in the Children of God,20080223120251,20050806105612,unknown,
Child care licensing in North Carolina,20130220183729,20130218011142,unknown,
Child model,20060214194400,20060103000631,unknown,
Child pornography,20070528220921,20011022124327,unknown,
Child's Play (disambiguation),20110705031300,20081118123419,unknown,
Children Of Lesbians And Gays Everywhere,20080316002408,20060112061101,unknown,
Children of Henry II of France and Catherine de' Medici,20081017051741,20080805132514,unknown,
Children of the rune (Korean novel),20091009163355,20090924010406,unknown,
Children's Mercy Hospital,20071206153711,20071205013339,copyright,"This item appears to be a copyright infringement of http://www.childrensmercy.org/Content/view.aspx?id=1744, and no assertion of permission has been made. (CSD G12)"
Children's Museum of Atlanta,20110405041705,20110324235411,unknown,
Children's Museum of Science and Technology,20150311130634,20110122203246,unknown,
Children's television show,20030619211110,20030301002254,unknown,
Chilean (disambiguation),20090415132353,20081118123814,unknown,
Chilean–Turkish relations,20090914044505,20070318125558,unknown,
Chile–Greece relations,20080814011256,20080620100141,unknown,
"Chilkur, Nalgonda district",20161016190053,20120321023510,unknown,
Chill factor,20071115182239,20060701024352,unknown,
Chilla,20090521161620,20081118123956,unknown,
Chillagoe Railway & Mining Co.,20130924123506,20130825023445,copyright,[[WP:CSD#G12|G12]]: Unambiguous [[WP:C|copyright infringement]] of http://www.qrig.org/motive-power/locomotives/steam/engines-acquired-from-chillagoe-railway-mining-company
Chilling Effects (group),20110918082050,20060929000606,unknown,
Chimeglebell,20070108075912,20061007221140,unknown,
Chin Zawa,20131205084339,20131121001316,unknown,
China Central Huijin,20161017151833,20070225075459,unknown,
China Compulsory Certificate,20051001220225,20050617074123,unknown,
China National Highway 228,20160204051209,20131102070955,unknown,
China Ocean Shipping Company,20070324153822,20070322145542,unknown,
China Steel,20061010094233,20060905013000,unknown,
China University of Petroleum (Beijing),20140521042645,20070411105635,copyright,[[WP:CSD#G12|G12]]: Unambiguous [[WP:CV|copyright infringement]] of http://www.cup.edu.cn/english/aboutcupb/aboutcupb2/index.htm
China project,20070622063742,20051023063024,unknown,
China – Indonesia relations,20111109005947,20080715123037,unknown,
China – Malaysia relations,20111109005449,20100617053756,unknown,
China's Human Rights Record of the United States,20060705025259,20050625194121,unknown,
"Chinatown, Fortitude Valley",20061015084023,20060507020635,unknown,
"Chinatown, Providence",20140918141601,20130620110143,unknown,
China–Egypt relations,20100614014819,20090407143359,unknown,
China–Iran relations,20101031005105,20090503143719,unknown,
China–Japan relations,20070905100259,20070824215346,unknown,
China–Russia borders,20131002190323,20120714142553,unknown,
Chinese Canadians in Greater Vancouver,20150217074714,20141026024337,unknown,
Chinese Cubans,20040726064058,20040508034237,unknown,
Chinese Food (song),20131024014210,20061226141559,unknown,
Chinese Hanging scroll,20150114220809,20060915112634,unknown,
Chinese New Year in Singapore,20170128211359,20090517123542,unknown,
Chinese Puerto Rican,20060323064138,20030707194048,unknown,
Chinese Rock (song),20061030170142,20051227031916,unknown,
Chinese Striped Hamster,20111129060329,20080115173740,unknown,
Chinese emperors family tree (ancient),20110623192154,20090707202104,unknown,
Chinese family,20070504052737,20061011140034,unknown,
Chinese in Russian Revolution,20071016162135,20071013132226,unknown,
Chinese yo-yo,20050326010747,20050103043611,unknown,
Ching Shih,20070404185926,20050120020805,copyright,Delete per [[Wikipedia:Copyright problems]]
Chingkankousaurus fragilis,20060219094324,20051223230610,unknown,
Chinny Baby,20160529011902,20130725084150,unknown,
Chip 'n Dale,20131015214029,20101201034924,unknown,
Chip connection,20160828192655,20121221102224,unknown,
"Chipping Norton, Oxfordshire",20140401091512,20060829170605,unknown,
Chiragabad,20151214081322,20150814115221,unknown,
Chirala,20061011063914,20051117001215,copyright,"Copyvio, listed on [[Wikipedia:Copyright problems]] for over a week, content was: '{{copyvio | url=http://chirala.com/aboutchirala.htm}}'"
Chiranjeet,20150421201029,20081003110315,unknown,
Chiriquí Occidente,20160412122842,20120507183421,unknown,
Chiswell,20070107030417,20060902172014,unknown,
Chitra (actress),20130919231552,20130827001347,unknown,
Chittagong Collegiate School,20130101065051,20060531144313,unknown,
Chittagong university college,20110726032222,20090826173034,unknown,
Chiu Chi-ling,20050904173229,20050615195927,unknown,
Chiuruțul Mare River,20100621053438,20080410102558,unknown,
Chiuruțul Mic River,20100621052415,20080410102606,unknown,
Chiuruțul de Mijloc River,20100621052325,20080410102616,unknown,
Chlodion,20031026161417,20031023182151,unknown,
Chloe Dao,20060227223155,20060210023815,unknown,
Chloe Khan,20160807020016,20160727201223,unknown,
Chlorhexidine gluconate,20071104222123,20050428165740,unknown,
Chlorogenate-glucarate O-hydroxycinnamoyltransferase,20110321071201,20071203181507,unknown,
Chocolatey,20140516024310,20130819011702,unknown,
Chocolatey (software package manager),20150521161901,20141204195529,unknown,
Chocó department,20140126073518,20070120170916,unknown,
Choda,20050625224147,20050611181220,unknown,
Choi Keun-Shik,20130416151852,20081226010707,unknown,
Chol Bom Sin,20130620144208,20120926201816,unknown,
Chola Empire,20091029180900,20051109194225,unknown,
Choluteca,20071206183055,20060507031502,unknown,
Chomsky hierarchy,20011209231509,20010828151817,great oops,
Chong Pal Park,20150204093214,20070701212135,unknown,
"Chongju, North Pyongan",20121129124555,20061113140514,unknown,
Chono language,20110508093922,20080310042341,unknown,
Chord Overstreet,20100921103228,20100911000832,unknown,
Chore,20080929220959,20050709081142,unknown,
Chorionic villi,20060405153412,20060112094753,unknown,
Chorley Nissan Victory Park,20071229154449,20070708135157,unknown,
Chornobyl Raion,20151202194622,20150205211333,unknown,
Choros,20090315084248,20070809055758,unknown,
Chorus,20051019021539,20050525022828,unknown,
Chorus (disambiguation),20060115062401,20051210192715,unknown,
Choti Bahu,20120610182746,20110512191549,unknown,
Choudhary Charan Singh,20080310192241,20060918052726,unknown,
Chowder Episode List,20100718214957,20100715102523,unknown,
Chowwannur,20151026225433,20081215024031,unknown,
Chris Allison (police officer),20110403094623,20100719001219,unknown,
Chris Brown (field hockey),20051225133234,20051220214808,unknown,
Chris Carr (British musician),20100221225450,20100214004520,unknown,
Chris Cornell: Unplugged in Sweden,20070826130623,20070604061753,unknown,
Chris Corrigan,20070514105942,20060803152920,unknown,
Chris Couch (golfer),20141116035143,20060809204701,unknown,
Chris Cracknell (rugby union),20141209160733,20090907014350,unknown,
Chris Davis (musician),20061202005258,20060809205013,unknown,
Chris De Burgh,20050106084840,20040820063105,unknown,
Chris Evans (broadcaster),20060921155729,20050821065406,unknown,
Chris Gaffaney,20060422152157,20060415214445,unknown,
Chris Gore,20050714014937,20050703051457,unknown,
Chris Harrington (disambiguation),20080416164909,20080415062839,unknown,
Chris Harris (automotive journalist),20151209162239,20151030221715,unknown,
Chris Harrison,20070121064521,20060124044318,unknown,
Chris Hunter (field hockey),20060729111456,20060504162517,unknown,
Chris Keeler,20040728130037,20040530031147,unknown,
Chris Kirkpatrick,20041213025751,20030415015942,unknown,
Chris Kraus (American writer),20060827000810,20060825113647,unknown,
Chris Lee,20060603092845,20060531032213,unknown,
Chris Lonsdale (disambiguation),20170309230134,20140213153709,unknown,
Chris Murray (hockey player),20080331192210,20070325154216,unknown,
Chris Okotie,20060603021417,20060104014525,copyright,"content was: '{{copyvio|url=http://www.onlinenigeria.com/links/Okotieadv.asp?blurb=594}} [[User:Squibix|squibix]] 18:28, 21 December 2005 (UTC)'"
Chris Pappas (Neighbours),20100812232731,20100802132647,unknown,
Chris Richards (disambiguation),20140912193737,20130721003341,unknown,
Chris Rogers (journalist),20120621172937,20070303052058,unknown,
Chris Rossouw (flyhalf),20110613221226,20090602010547,unknown,
Chris Simmons,20061111212328,20061103090225,move from Chris Simmons,Fixing article name
Chris Wagner,20141019232705,20130608133606,unknown,
Chris Wagner (ice hockey),20150706155040,20141028010043,unknown,
Chris Wilson (disambiguation),20090207203259,20080413020528,unknown,
Chris Young (disambiguation),20130424004956,20071230220136,unknown,
Christ the King Church (Connecticut),20110131032458,20110121173140,unknown,
Christa Schröder,20070625122552,20070102052411,unknown,
Christchurch Polytechnic Institute of Technology,20060127093909,20050811005655,copyright,"deleting to expunge copyvio, will restore"
Christian Ehresman Farm (Ohio),20091118225357,20070722153951,unknown,
Christian Front,20120621214520,20101020070943,unknown,
Christian Gottlob Heine,20040203002106,20021228123048,unknown,
"Christian Iutzi Farm (Butler County, Ohio)",20091118230228,20070722193911,unknown,
Christian Konrad Sprengel,20070829114850,20060923114631,unknown,
Christian Lealiifano,20090618013340,20090316094151,copyright,Listed at [[Wikipedia:Copyright problems]] for over seven days: prepare to clean history
Christian Outreach for Relief & Development,20140822163339,20071115150947,unknown,
Christian Schøyen,20081230013202,20081224013701,unknown,
Christian Socialist Movement,20130829160450,20080221102131,unknown,
Christian Socialist Movement (UK),20050614040903,20040407011630,unknown,
Christian Taylor,20110807125857,20090307193806,unknown,
Christian Voice,20050625161122,20050624040548,unknown,
Christian cult (disambiguation),20091012155405,20080818180616,unknown,
Christian eschatology,20011014133207,20010927070117,great oops,
Christian-ism,20060306220613,20060304144850,unknown,
ChristianBibleGenesis,20040315232116,20010213210620,unknown,
Christianity and Mormonism,20100303085909,20080723160117,unknown,
Christianity in Chad,20140419030124,20130125123409,unknown,
Christianity in Cyprus,20151016224944,20110423045008,unknown,
Christians for Socialism,20161210022624,20161128143023,unknown,
Christie CDP (Oklahoma),20080330194954,20060522060935,unknown,
Christie Vilsack,20090815132539,20070414185824,unknown,
Christina Aguilera: In Concert,20111227132416,20110819042021,unknown,
Christina Brehmer,20070529090558,20061021141453,unknown,
Christina Hagan,20111011214547,20110305030033,unknown,
Christina Marie Riggs,20081117091632,20061129025524,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]
Christine Daniels,20111218001840,20070502004833,unknown,
Christine Dolce,20060511011818,20060413044612,unknown,
Christmas with Boney M. (1984),20071202174147,20070909154100,unknown,
Christmas with a Capital C,20101121093447,20100929053624,unknown,
Christophe,20080629063106,20060809225003,unknown,
Christopher (given name),20140212141156,20050516110425,unknown,
Christopher Alexander (disambiguation),20140201095832,20140117132710,unknown,
Christopher Columbus (sculpture by Vittori),20140221165011,20101128215822,unknown,
Christopher G. Newhall,20080321013640,20080317065053,unknown,
"Christopher George Charles Nevill, 6th Marquess of Abergavenny",20160704042909,20140421183319,unknown,
Christopher Hart (actor),20051024093243,20050726233837,unknown,
Christopher Hughes (disambiguation),20090104144711,20071013113035,unknown,
Christopher J. Grisham,20160710211512,20150708065325,unknown,
Christopher Kelen,20070212125416,20070210015104,copyright,G12 -) copyvio of http://www.styluspoetryjournal.com/main/master.asp?id=731
Christopher Phillips,20080317180323,20060319235826,unknown,
Christopher Saxton,20050602161337,20050219095044,copyright,Listed on [[WP:CP]] since March 21. content was: '{{copyvio|url=http://www.antiquemaps.co.uk/chapter15.html}}'
"Christopher Sharp, QC",20111125211220,20111123155600,unknown,
Christopher Spencer,20070903035500,20060817005613,unknown,
Christopher backus,20120615032803,20040819160120,unknown,
Christos Sartzetakis,20041012025737,20040905172919,unknown,
Christy Saura Noela Unu,20160729024940,20160705094926,unknown,
Chromatin Immunoprecipitation,20100306200024,20100304092242,unknown,
Chronic Lyme disease,20140202232023,20070316091422,unknown,
Chronic inflammation,20070401090026,20061009074923,unknown,
Chronicle of Current Events (samizdat),20150102151333,20060716073515,unknown,
Chronicle of Mann,20080924143836,20080405120914,unknown,
Chronicle of a Death Foretold,20040519033142,20040509072751,unknown,
Chronology of the Oil Campaign of World War II,20090506122606,20090326202048,unknown,
Chronopotentiometry,20140622164717,20140618084718,unknown,
Chrysler bankruptcy (2009),20090711042535,20090505141141,unknown,
Chrysosporium keratinophilum,20131124175434,20131011161917,unknown,
Chu Mei-feng,20071106222350,20060527094257,unknown,
Chubu Centrair International Airport,20050220025400,20050218043754,unknown,
Chuck Bryant,20150215104800,20141225163419,unknown,
Chuck Connors,20040301082340,20031125013951,unknown,
Chuck Darling,20090502152619,20080105205657,unknown,
Chuck Mosely,20090503112732,20060809234427,unknown,
Chuck Ramsey (American football),20090729210207,20070319051643,unknown,
Chung-mu,20091210045308,20071012000300,unknown,
Chungdo,20050131162846,20041121191111,unknown,
Church Report on detainee interrogation,20051023000021,20051021235513,unknown,
Church age,20160419175713,20151213085444,unknown,
Church monuments,20131026023656,20130503155453,unknown,
Church of Jesus Christ of Latter Day Saints,20110502222305,20061016185224,unknown,
"Church of St Benoit, Istanbul",20120821122746,20120813130054,unknown,
Church of St David at Llanthony Priory,20160411184134,20160410104621,unknown,
"Church of St David, Llanthony",20160410104450,20131225014203,unknown,
"Church of St. Anthony of Padua, Warsaw (Downtown)",20140617131127,20140512205504,unknown,
Church of the Province of Southern Africa,20061111204611,20060204014045,unknown,
"Churchbridge, Saskatchewan",20071004033353,20070717064854,copyright,"Copyvio; new page written, deleting copyvio to make space for new page"
Churchill (electoral district),20150810023433,20051101220656,unknown,
Churchill Insurance,20091012154716,20080224070139,unknown,
Churchlands Senior High School,20051123123045,20051111020840,copyright,"deleting to remove copyvio edits, will undelete shortly"
Chute,20080902023327,20080702151740,unknown,
Chuy (province),20101101163715,20060707003100,unknown,
Château Eza,20141225044159,20110204194049,unknown,
Château Pichon-Longueville,20120909101237,20111213061952,unknown,
Château de Hohenbourg,20121121164942,20070326105840,unknown,
Chōsogabe Morichika,20071123050023,20071104022752,unknown,
Chūjō-hime,20070105013315,20060727134045,unknown,
Ciaotou District,20170227055218,20090815170855,unknown,
Ciaran Griffiths,20100407000606,20060809235528,unknown,
Ciarán Mackel,20061214235348,20060809235553,unknown,
Cicero Race Riot of 1951,20141223052646,20141015230644,unknown,
Cicipu language,20110626081221,20090204170953,unknown,
Cidade Ademar (district of São Paulo),20141231021755,20140330051135,unknown,
Cidade Dutra (district of São Paulo),20141231022456,20140330051204,unknown,
Cidade Líder (district of São Paulo),20141231030314,20140330051225,unknown,
Cidade Tiradentes (district of São Paulo),20141231042645,20140330051244,unknown,
Cimarrones de Sonora Premier,20161106063127,20151221140324,unknown,
Cincinnati Bearcats football,20100506115334,20081229212010,unknown,
Cincinnati Conservatory of Music,20060606060001,20060507080227,unknown,
"Cincinnati-Wilmington-Maysville, OH-KY-IN Combined Statistical Area",20151012115826,20050709191637,unknown,
Cinderella's Golden Carousel,20100323083007,20071012202138,unknown,
Cindy Cheung,20110105080638,20060830175619,unknown,
Cindy Cohn,20060215185448,20051204032904,copyright,"content was: '{{copyvio | url=http://www.eff.org/about/staff/}} Several senetences and overall structure.  [[User:GChriss|GChriss]] 23:05, 11 February 2006 (UTC)'"
Cindy Lee Van Dover,20120409153711,20120328152929,unknown,
Cinecast,20060617092102,20060509195111,unknown,
Cinema,20010803183518,20010730204255,great oops,
Cinema Sounds,20061220125605,20061125113817,unknown,
Cinema in Romania,20080130004318,20060906233646,unknown,
Cinema of Afghanistan,20061120063507,20061022150835,unknown,
Cinema of Armenia,20061229035921,20061022150921,unknown,
Cinema of Austria,20061222133744,20061022150933,unknown,
Cinema of Hungary,20061222123401,20061022151133,unknown,
Cinema of Iceland,20061222125322,20061022151146,unknown,
Cinema of Indonesia,20061219173407,20061022151155,unknown,
Cinema of Israel,20061222115411,20061022151236,unknown,
Cinema of Manipur,20151225132532,20151221105849,copyright,"[[WP:CSD#G12|G12]]: Unambiguous [[Wikipedia:Copyrights|copyright infringement]] of http://erang.e-pao.org/Classic/write/Manipuri_Cinema_Its_Journey_Problems_1.php, http://e-pao.net/epPageExtractor.asp?src=features.Manipuri_cinema_in_the_last_three_deca..."
Cinema of Norway,20061222120332,20061022151506,unknown,
Cinema of Switzerland,20061118113519,20061022151637,unknown,
Cinema of Ukraine,20061112053002,20061022151800,unknown,
Cinema of Yugoslavia,20061222131555,20061022151907,unknown,
Cingjing Farm,20161123041750,20131228015740,unknown,
Cinzano Rosso,20050726191904,20050724141214,unknown,
Cioara River (Arieș),20100621054754,20080408041551,unknown,
Ciocârlia River (disambiguation),20130403230113,20130318004200,unknown,
Cipriano Primicias Sr.,20070806094826,20070606192135,unknown,
Circassian genocide,20061128110053,20061113162957,copyright,content was: '{{copyvio|http://www.circassianworld.com/circassiangenocide.html}}'
Circle Circle Dot Dot,20061015175956,20051201202948,unknown,
Circle Line (disambiguation),20080415201222,20070122114246,unknown,
Circle Sport – Leavine Family Racing,20170107005932,20160121184546,unknown,
Circumcision and the law,20100827143210,20100825163245,unknown,
Circumcision fetish,20060125135835,20060114135515,unknown,
Circumferential Road 4,20120306160121,20090428092802,unknown,
Circumscription,20080919150816,20051008142119,unknown,
Ciribiribin (album),20100927131509,20100726055634,unknown,
Cirque de Celebrité,20061021101102,20061017202231,unknown,
Cirrata,20070219214256,20050502022613,unknown,
Cirsonella parvula,20090317044550,20071218184926,unknown,
Cirsonella pisiformis,20090317044827,20071218184949,unknown,
Cis,20070126200137,20060728135225,unknown,
Cis (disambiguation),20071129034009,20070630071025,unknown,
Cisco Certified Network Professional,20040827130343,20040806203932,unknown,
Cishan District,20170227060200,20090813014811,unknown,
"Cishan, Kaohsiung",20091203093320,20060928174928,unknown,
Cistus ochreatus,20150323081110,20150302165509,unknown,
Citizen Erased,20060910154018,20060724092709,unknown,
Citizen's Dividend,20031116215522,20021110180311,unknown,
Citrate-CoA ligase,20110321081631,20071117092339,unknown,
City Academy,20120701083543,20051217024816,unknown,
"City Island, New York",20111005194932,20060605105751,unknown,
City Lights (ITV series),20070421171825,20070412140847,copyright,Delete per [[WIkipedia:Copyright problems]]
City University College of Ajman,20140126101340,20140123050558,copyright,[[WP:CSD#G12|G12]]: Unambiguous [[WP:C|copyright infringement]] of http://www.cuca.ae/index.php?page=page&MasterPageID=1# and related pages
City University of Hong Kong,20091228181641,20060914045100,unknown,
"City and Burough of Juneau, Alaska",20060721163448,20021001212628,unknown,
City limits (United States),20060410054718,20060408015944,unknown,
"City of Ipswich, Queensland",20091101233223,20070302103449,unknown,
City of Leeds,20090923155047,20041015100731,unknown,
City of Manchester,20051031191518,20051016150926,unknown,
City of San Jose del Monte,20100512035958,20090831122827,unknown,
"City of Whitehorse, Victoria",20161006072311,20161004180054,unknown,
City status in Ireland,20100506124805,20040703212332,unknown,
City status in the United Kingdom/Archive 1,20071121145035,20020812143820,unknown,
Ciudad Real (Manilla),20080905011109,20080829143026,unknown,
Ciudad de los Artes y las Ciencias,20120726180101,20120721143438,unknown,
Ciudad del Saber,20051205004125,20051111034037,copyright,blatant copyvio
Civico Mausoleo Palanti,20110830111842,20110829093328,unknown,
Civil Air Terminal Chandigarh,20160813015904,20090102023225,unknown,
Civil Society,20040315030018,20031109123702,unknown,
Civil War in Finland,20040128100016,20030709091041,unknown,
CivvyStreet,20160301172029,20080214223015,unknown,
Ciénega Bridge,20140418090213,20140406230317,unknown,
Cladistics,20010923194312,20010411174439,great oops,
"Claisebrook Train Station, Perth",20101212100511,20070114113554,unknown,
Clan Stuart,20080731030328,20061207054339,unknown,
Clan Udny,20090404130357,20080118055856,unknown,
Clapp (surname),20140213132448,20080511171735,unknown,
Clara (disambiguation),20151225145239,20081118152306,unknown,
"Clare, South Australia",20060224034101,20051210155347,unknown,
Clarence H. Burns,20061111074347,20060629152546,unknown,
Clarisa Fernandez,20080708000100,20060831174608,unknown,
Clarissa Mason,20080714093014,20080711210932,unknown,
Class,20011025001634,20010909182235,great oops,
Classical Adlerian psychotherapy,20041125191530,20041025233656,unknown,
Classical element,20010922231709,20010911011426,great oops,
Classical guitar music,20060716191545,20060621160422,unknown,
Classical liberalism,20011012160819,20011007000352,great oops,
Clastic rocks,20070122031330,20060222060047,unknown,
"Claude Alvin Villee, Jr.",20100919215728,20100913130747,unknown,
Claude T. Smith,20090524014844,20070821183136,unknown,
Claudia Zacchara,20110522060248,20080609012702,unknown,
Clayton Homes,20071023034724,20071019210523,unknown,
Clayton Lake,20091018181735,20090601114259,unknown,
Clayton Lake (Oklahoma),20150721125358,20091222062747,unknown,
"Clayton, Greater Manchester",20131207181036,20131206092506,unknown,
Clean Tourism,20061022151523,20060428180403,unknown,
Cleaner shrimp,20060815082833,20060202140111,unknown,
Cleft of Venus,20101103034540,20060618041051,unknown,
Clem Grogan,20161117102514,20141019181138,unknown,
Cleo (singer),20170310210615,20160418135543,unknown,
Cleveland Barons,20060508230615,20050418195730,unknown,
Cleveland Way,20061026155804,20060611183035,copyright,content was: '{{copyvio|url=http://www.aboutbritain.com/articles/cleveland-way-national-trail.asp}}'
Click (novel),20090603230527,20090602083653,unknown,
Click Mexicana,20081129065249,20070324015511,unknown,
ClickBus,20140416163154,20140313135812,unknown,
ClickOnce,20050727074600,20050617123921,copyright,"content was: '{{copyvio|url=''http://msdn.microsoft.com/smartclient/understanding/windowsforms/2.0/features/clickonce.aspx''}}[[User:Vneiomazza|Vneiomazza]] 11:39, ...'"
Cliff Swallow,20120501004048,20041002213644,unknown,
Climate Group,20110304020418,20080202234220,unknown,
Climate change levy (UK),20150501085152,20070106054202,unknown,
Climate of Brazil,20070623182130,20061104204220,unknown,
Climate of Spain,20110626162313,20100108210839,unknown,
"Climate of Sydney, New South Wales",20120113185351,20090525085423,unknown,
Climbing techniques,20060724182814,20060712151403,unknown,
Climent of Ohrid,20041210212800,20040930011459,unknown,
Clinical Cell Culture,20100211162950,20050704104729,unknown,
Clinical Ovarian Cancer,20120618172754,20090910052318,unknown,
Clinical descriptions of chronic fatigue syndrome,20080418021220,20080412135323,unknown,
Clinical research associate,20050802143730,20050603185349,unknown,
Clink,20050330034745,20050312032208,unknown,
Clint Geronimo,20130514100853,20130411001448,unknown,
Clipnosis,20150106150105,20131214013124,unknown,
Clique Girlz,20100611012406,20080111230518,unknown,
Clive Burr,20041021065724,20040611125618,unknown,
Clive Wood,20061125164647,20061108072041,unknown,
Clockpunk,20070817230359,20070220012549,unknown,
Clocks (single),20060727215926,20060418061139,unknown,
Clocuşna,20140604175853,20100812024235,unknown,
Clone (genetics),20070703081646,20060120020837,unknown,
Clones (video game),20060217231611,20060113010325,unknown,
"Clonmore, County Carlow",20070925173331,20070724204525,unknown,
Clophill,20061201110418,20061011123508,copyright (move from Clophill/Temp),replacing copyvio
Close Range,20150916095238,20140131070435,copyright,"[[WP:CSD#G12|G12]]: Unambiguous [[WP:C|copyright infringement]]: http://theactionelite.com/2014/01/scott-adkins-and-isaac-florentine-are-at-close-range/, also [[WP:TOOSOON]]"
Closer Economic Relations,20050822021236,20040717014721,unknown,
Closer to Heaven (film),20091111123724,20091109215128,unknown,
Closing logos of Columbia Pictures Television,20060711163443,20060612171306,unknown,
Closterman,20130810094624,20101228143807,unknown,
Closure (computer programming),20020716031038,20020403094638,unknown,
Cloth,20060807172924,20050119022348,unknown,
"Clothed female, naked male",20050908195230,20050715163320,unknown,
Clothes free movement,20060412124824,20060313071630,unknown,
Cloud pattern on Jupiter,20080810145720,20060506164155,unknown,
Cloudland,20051101114613,20051030042111,unknown,
"Cloverdale, Tillamook County, Oregon",20110121074623,20060801002719,unknown,
Club Puebla,20160830201210,20060113010747,unknown,
Club Universe,20090407135421,20061231000539,unknown,
Club Universidad Técnica de Cajamarca,20120918105637,20090520205417,unknown,
Clubbing (disambiguation),20100810184843,20081118171312,unknown,
Clubes City Club,20080705235725,20070225072931,unknown,
"Clutton, Somerset",20060207173235,20051214211947,unknown,
Clyde Lucas,20101011124241,20090316154855,unknown,
Clyde Williams (American football),20090621035501,20080109220653,unknown,
Clydesdale Junction Railway,20070106001753,20061216090856,unknown,
CmapTools,20120719210922,20110405204446,unknown,
Cnicus benedictus,20120719065246,20070311003457,unknown,
Co-production of society and technology,20060805153850,20050812180730,unknown,
CoB-CoM heterodisulfide reductase,20110321074758,20071108213748,unknown,
Coach (disambiguation),20060816184357,20060808233606,unknown,
Coal Miner's Daughter (disambiguation),20140404224431,20120524124925,unknown,
Coal measure,20091220174654,20070520025808,unknown,
Coalbed Methane,20120711155716,20120710134847,unknown,
Coalfields Road,20100201042127,20061218143231,unknown,
Coalición,20160927154930,20081118172558,unknown,
Coast Pilots,20111006075207,20070326050749,unknown,
Coast to Coast (1980 film),20061112001053,20061022151928,unknown,
Coastal Carolina Chanticleers football,20100818223738,20100402075750,unknown,
Coastal Management,20060212165840,20051004185636,unknown,
Coat of arms of Galicia (Spain),20071010201505,20071006205640,unknown,
Coat of arms of Indonesia,20091209214042,20060812062711,unknown,
Coat of arms of Mongolia,20101009052704,20101007194324,unknown,
Coat of arms of Sikkim,20101028194121,20090913061825,unknown,
Coat of arms of Singapore,20081224061806,20060921084759,unknown,
Coat of arms of the Palestinian National Authority,20130221204046,20080428160320,unknown,
Coat of arms of the Republic of Adygea,20150401021340,20080323190607,unknown,
Coat of arms of the Republic of Ingushetia,20150401021533,20061101130326,unknown,
Coat of arms of the Republic of Kalmykia,20150401021802,20120503043118,unknown,
Coat of arms of the Republic of North Ossetia–Alania,20150325232907,20060919015747,unknown,
Cobb County Public Schools,20060914202131,20050814180035,unknown,
Cobourg Museum Foundation,20101007180155,20060226203958,unknown,
Cobra (snake),20061103200014,20051215034320,unknown,
Coca-Cola,20011106043946,20011004062456,great oops,
Cochlospermaceae,20060725134648,20060328192027,copyright,copyvio from http://www.biologie.uni-hamburg.de/b-online/delta/angio/www/cochlosp.htm
Cochrane (disambiguation),20110309194750,20081118173631,unknown,
"Cockburn Island, Antarctica",20071208031514,20070507213758,unknown,
Cocklebur,20141024023128,20070311000748,unknown,
Cocktail glass,20040514172751,20021029234244,unknown,
Cocoa butter,20040812040605,20040731020906,unknown,
Cocoon (Meg & Dia album),20111017222046,20110713030017,unknown,
Code Of Umar,20061106223150,20060918204728,unknown,
Code Red II (computer worm),20111120231752,20070208122512,unknown,
Code amber alert,20060904082805,20060527181342,unknown,
Code noir,20050717112259,20040728031251,unknown,
Code of Ethics,20070517123741,20070116072222,unknown,
CodeIgniter,20071115180632,20070407181038,split from Codeigniter,
Codex 0220,20150317064652,20070511030822,unknown,
Coelho Neto (Rio de Janeiro),20131017191523,20100704204558,unknown,
Coeur d'Alene people,20040729123638,20040725164755,unknown,
Cognita,20090907173952,20080403215833,unknown,
Cognitive informatics,20110203081510,20071017121630,unknown,
