from,to,namespace,comment
Bird's nest fungus,Nidulariacae,0,Scientific names preferred as titles
Creeping featurism,Featuritis,0,featuritis is the more accepted term for this phenomena.
United States House Committee on Science,United States House Committee on Science and Technology,0,"Committee has renamed itself, yet again, back to a previous name (target has trivial history -- content copied from this page)"
"Shellback Island, Victoria",Shellback Island (Victoria),0,
Apophysis,Apophysis (software),0,"Bots keep mistaking ""Apophysis"" as several other things."
The Zakarids,Zakarid Armenia,0,
Kings cross food and wine festival,Kings Cross Food and Wine Festival,0,spelling
Ryan Braun (Pitcher),Ryan Braun (pitcher),0,fix caps
Bambu Rolling Papers,Bambu rolling papers,0,correct capitalisation
Fuck International Baccalaureate,International Baccalaureate,0,BOT - Reverted move {[[User:VoABot_II/Help#Revert_reasons|vandalism]]} by [[Special:contributions/Jasonbirring|Jasonbirring]].
WKRK,WKRK-FM,0,There's now an AM.
Side of a Bullet (song),Side of a Bullet (Nickelback song),0,correct disamb.
French Senate,Senate of France,0, of France instead of French per [[WP:MOS]]
Dharmic religion,Dharmic religions,0,merging page histories
Blocker (Hockey),Blocker (hockey),0,Caps fix per naming standards
Winter Solstice Celebration,Winter solstice celebration,0,cap per MoS
Yariguies Brush Finch,Yariguies Brush-finch,0,"as per HBW standard
"
"Ministry of Economy, Trade and Industry (Japan)","Ministry of Economy, Trade and Industry",0,
Thomas Merfyn Davies,Thomas Mervyn Davies,0,Merfyn -> Mervyn
Still The One (song),Still the One (song),0,caps
Real estate developer,Real-estate developer,0,"a minor grammatical point (it's a developer of real estate, rather than a genuine developer of estates)"
IPhone (Linksys),Linksys iPhone,0,
Dr. No (novel),Dr No (novel),0,
The Scramble for Africa,Scramble for Africa,0,def article unnecessary
List of Arab countries by poulation,List of Arab countries by population,0,obvious spelling mistake
Vallenar,"Vallenar, Chile",0,moved for consistency in [[Wikipedia:Naming_conventions_(settlements)#Chile|Chile place names]]
Alexander Tkachev,Alexander Vasilyevich Tkachev,0,use patronimic to disambiguate between Russian people
List of radio stations in Albuqeurque,List of radio stations in Albuquerque,0,spelling
Bludger,Bludger (disambiguation),0,
Home mission society,Home Mission Society,0,The name of the society is capitalized
Dune Encyclopedia,The Dune Encyclopedia,0,
"Schroon, New York","Schroon Lake, New York",0,"The town and hamlet are more commonly know as ""Schroon Lake"".  The lake extends beyond the Town of Schroon and also includes the Town of Chester."
Jain irrigation,Jain Irrigation Systems,0,Correct name and capitalization
Expressways of Japan,Japanese Expressways,0,OK.
Wake Me Up Before You Go Go,Wake Me Up Before You Go-Go,0,"proper spelling & use of common term ""go-go""; reliable source: All Music Guide"
Diesel SpA,Diesel (clothing company),0,"Wikipedia standards not to include ""SpA"", ""AB"", ""Gmbh"" etc in the title"
White Christmas,White Christmas (disambiguation),0,"make dab page, since everything else is named after the original concept"
Nizamiyyah,Nizamiyya,0,
List of Barons in the peerages of the British Isles,List of Barons in the Peerages of the British Isles,0,"peerage = a title, Peerage = the institution or one of the groupings of peerages"
List of Marquesses in the peerages of the British Isles,List of Marquesses in the Peerages of the British Isles,0,"peerage = a title, Peerage = the institution or one of the groupings of peerages"
List of Marquessates in the peerages of the British Isles,List of Marquessates in the Peerages of the British Isles,0,"peerage = a title, Peerage = the institution or one of the groupings of peerages"
List of hereditary baronies,List of Baronies in the Peerages of the British Isles,0,
Professor Bill MacMillan,Bill MacMillan (academic),0,"""Professor"" is not used in article titles; disambiguation with a sports figure is needed."
Sir Brandon Gough,Brandon Gough,0,Knighthoods are not included in article titles
Chimera Album,Himera (album),0,
Hayward Gallery,The Hayward,0,"Change in brand identity from ""Hayward Gallery"" to ""The Hayward""."
Bfi Southbank,National Film Theatre,0,
Numbuh 86 (Kids Next Door),Numbuh 86 (Codename: Kids Next Door),0,
Trevor McCallum (soccer player),Trevor McCallum (soccer),0,revert
Helen hill,Helen Hill,0,capitalization
Nurikabe (Japanese mythology),Nurikabe (folklore),0,more appropriate name
Categories,Category (philosophy),0,article titles should generally be singular ([[WP:TITLE]])
Don Simmons (hockey),Don Simmons (ice hockey),0,
Steve Carlson (hockey player),Steve Carlson (ice hockey),0,
Foe (book),Foe (novel),0,it is a novel
Jack Allsop,Just Jack,0,this is how he is actually known
Hardcore emo,Emotional Hardcore,0,hardcore emo does not make sens. Emocore (emotional hardcore) fits better.
Pallas Cat,Pallas's Cat,0,as per MSW3
Su-30MKI,Sukhoi Su-30MKI,0,[[WP:AIR]] naming conventions
General Aircraft XFA-1,General Aircraft XFA,0,WP:AIR naming conventions
"Chiesa della Casa Santa, Loreto","Basilica della Casa Santa, Loreto",0,"The church is called ""Basilica"" or ""Santuario"" but NEVER ""Chiesa."""
Liberal Democratic Party (Serbia),Liberal Democratic Party (Serbia 2005),0,Disambiguation by hyphen is a bad idea
Rengo,"Rengo, Chile",0,moved for consistency in [[Wikipedia:Naming_conventions_(settlements)#Chile|Chile place names]]
Privy Council of Sweden,High Council of Sweden,0,
Yuja Wang,Wang Yujia,0,"last name first. Re spelling change, I have programmes from her concert and it was spelt with the i, but this can be discussed"
William Stevenson (athlete),William Stevenson (athletics),0,
The Innocent Railway,Innocent Railway,0,per naming conventions
Muriel Buck Humphrey,Muriel Humphrey,0,RV - I misunderstood the goal. sorry about that
Joe kovacs,Joe Kovacs,0,Capitalization
Rüppell's Warbler,Rueppell's Warbler,0,"In English (and German) ""ü"" (u umlaut) is often changed to ""ue"".
ü is not a letter in the English alphabet."
Bowerbirds,Bowerbirds (band),0,Moving to disambiguated title
SO3,SO3 (disambiguation),0,On the SO3 page there is noted 'SO3 redirects here'.
Filipino (identity),Filipino people,0,rv move. Identity is synonymous with ethnic group. No need to move.
On Chesil Beach (novel),On Chesil Beach,0,no need to clarify..
Youyi Rd,Youyi Road (Shanghai Metro),0,New naming scheme for Shanghai Metro
Toque,Toque (French),0,"needs disambiguation because there should Toque (Canadian) since the currently used ""tuque"" for the main Canadian page is incorrectly using a less common alternate spelling (see Canadian Oxford Dictionary)"
Four Winds EP,Four Winds,0,There is no evidence that 'EP' is part of the EP's name. See http://saddle-creek.com/bands/brighteyes/brighteyes.html
United States Senate Environment Subcommittee on Clean Air and Nuclear Safety,United States Senate Environment and Public Works Subcommittee on Clean Air and Nuclear Safety,0,correct name
United States Senate Environment Subcommittee on Transportation and Infrastructure,United States Senate Environment and Public Works Subcommittee on Transportation and Infrastructure,0,correct name
Esterházy,House of Esterházy,0,creation of disembiguation page
Rap,Rap (disambiguation),0,Will redirect to [[Rapping]]
Mazda Atenza,Mazda 6,0,Worldwide name
Arnold (Hey Arnold!),Arnold Shortman,0,last name
Saint Cybi,Cybi of Caenarvon,0,per [[WP:NCWC|naming conventions]]
Tiglat-pileser III,Tiglath-pileser III,0,common form.
Catch and Release,Catch and Release (film),0,
Dragon Knight (character class),Dragoon (Final Fantasy),0,disambiguation reasons
Southwick-Tolland Regional high school,Southwick-Tolland Regional High School,0,capitalization
Video Games,Video games,0,not a proper noun
J.f. Carmichael public school,J.F. Carmichael Public School,0,"standardize capitalization
"
Paul Hinshelwood Snr,Paul Hinshelwood (footballer born 1956),0,Seems more sensible to me
Cervantes de Leon,Cervantes (Soul Edge),0,Moved as per [[Wikipedia:Mediation_Cabal/Cases/2006-12-21_Street_Fighter_character_articles]] and [[Talk:E. Honda]]
Mohammad Reza Lotfi,Mohammad-Reza Lotfi,0,
Hellcat (comics),Patsy Walker,0,The character existed for three decades before becoming Hellcat.
Lord William Walter Montagu-Douglas-Scott,Lord William Montagu-Douglas-Scott,0,
Ghaziabad Karachi,Ghaziabad (Karachi),0,Fixing copy/paste move
Alexa Ray Joel,Alexa Rae Joel,0,Title is wrong
Social Darwinism,Social darwinism,0,no need to capitalize
Ilokano language,Ilocano language,0,per move request; see talk page.
Dicycles,Dicycle (vehicle),0,so that dicycles can be changed to a redirect to dicycle
Xiao Cheng Ren,Empress Renxiao,0,
Xiao Quan Cheng,Empress Cijing,0,
42nd Attack Squadron,42d Attack Squadron,0,Correct Name
Unrequited (The X-Files episode),Unrequited,0,[[Wikipedia:Naming conventions (television)|TV naming conventions]]
Empress Jingshu,Xiao Zhao Ren,0,revert
Empress Wencheng,Xiao Yi Ren,0,revert
Empress Wenhou,Xiao Mu Cheng,0,revert
Empress Gongmin,Xiao Lie Wu,0,revert
Empress Gonghe,Xiao Jing Xian,0,revert
Empress Dowager Renxian,Xiao Hui Zhang,0,revert
Empress Dowager Cihe,Xiao Kang Zhang,0,revert
Texas Rangers/Award winners and league leaders,Texas Rangers award winners and league leaders,0,avoid subpage format
32-bit Disk Access,32-bit disk access,0,lowercase Disk Access
Richmond Transit Village,Metro Walk,0,correct name
Polish death camps (incorrect term),Polish death camps,0,no reason for the move
Saint Vasilije,Basil of Ostrog,0,per [[WP:NCWC|naming conventions]]
David Howell (Footballer),David Howell (footballer),0,standard
Becoming (The 4400),Becoming (The 4400 episode),0,"sorry, did not realize someone moved them before, but got reverted. oops"
Ahmad wali,Ahmad Wali,0,proper name
World No. 1 Tennis Player Rankings,World number one male tennis player rankings,0,
Manuel del Popolo García,Manuel del Popolo Vicente García,0,full name
Arthur Mervyn Stockwood,Mervyn Stockwood,0,usual name
Yosh Uchida/Temp,Yosh Uchida,1,replacing copyvio
Mayo A. Shattuck III/Temp,Mayo A. Shattuck III,1,replacing copyvio
Jack Keane (U.S. soldier),Jack Keane,0,no need for disambiguation; no other [[Jack Keane]]s in Wikipedia
I'll Kill You (X Japan),I'll Kill You (X Japan song),0,
Yemeni Americans,Yemeni-American,0,grammatically correct
HMAS AE1,Australian submarine AE1,0,"It wasn't called ""HMAS"" when it existed"
HMAS AE2,Australian submarine AE2,0,"It wasn't called ""HMAS"" when it existed. That name has been invented by the RAN in recent years. To call it HMAS is an [[anachronism]]."
Magog,Magog (disambiguation),0,
The Royal Regiment of Scotland,Royal Regiment of Scotland,0,[[WP:NCD]]
Adelaide Repertory Theatre/Temp,Adelaide Repertory Theatre,1,replacing copyvio
National Retail Federation/Temp,National Retail Federation,1,replacing copyvio
Servian (commune),Servian,0,Rv unilateral move
Dirac,Dirac (disambiguation),0,To allow Paul Dirac to be linked here
Eugene Guth/Temp,Eugene Guth,1,moving from temp page
Shelby Steele/Temp,Shelby Steele,1,replacing copyvio
Darkest hour (disambiguation),Darkest hour,0,
List of lakes of Serbia,List of lakes in Serbia,0,Unifying List of lakes naming
List of lakes of Ontario,List of lakes in Ontario,0,Unifying List of lakes naming
Zonal-meridional,Zonal and meridional,0,"Replacing ""-"" with "" and "" to join the terms, since it is more natural"
Terrible Swift Sword (The 4400),Terrible Swift Sword (The 4400 episode),0,unilateral.
Pedro Paterno,Pedro A. Paterno,0,
Alena Seredova,Alena Šeredová,0,
Gerald Cole,Gerrard Cole,0,name consistent with Olympic sources
Theo faberge,Theo Fabergé,0,
Grain size,Particle size,0,"while this is sometimes called grain size, it is also called particle size and there is something else called grain size with no alternative name"
Dai Young,Dai Young (footballer),0,disambiguate with other names
Rancho San Pedro/Temp,Rancho San Pedro,1,copyvio replacement
"Scraper, Oklahoma",Scraper CDP (Oklahoma),0,New name per Census Bureau conventions to make room for actual community.
Raas,Raas (disambiguation),0,self-explanatory
Hutch (mobile phone network),Hutch Essar,0,Not a proper name for an article representing a major company
"McKey, Oklahoma",McKey CDP (Oklahoma),0,Per US Census Bureau conventions to make room for community by that name
Italian Swimming Federation,Federazione Italiana Nuoto,0,
Gokujou Parodius!,Gokujō Parodius! ～Kako no Eikō o Motomete～,0,
"Akins, Oklahoma",Akins CDP (Oklahoma),0,Rename per Census name conventions to make room for actual community
"Bushyhead, Oklahoma",Bushyhead CDP (Oklahoma),0,Rename per US Census conventions to make room for actual community
Hugh Thomas,Hugh Thomas (disambiguation),0,"Will use ""Hugh Thomas"" page for most well-known Hugh Thomas"
Ahriman's prophecy,Ahriman's Prophecy,0,"In the [[Aveyond]] article, links to [[Ahriman's Prophecy]] seems to be broken."
"Lost City, Oklahoma",Lost City CDP (Oklahoma),0,Rename per US Census conventions to make room for actual community
"Brushy, Oklahoma",Brushy CDP (Oklahoma),0,Rename per US Census convention to make room for actual community
Tijana,Tijana Todevska-Dapčević,0,Tijana is a common Slavic name.
Nikolaj Zimjatov,Nikolay Zimjatov,0,"revert undiscussed, unreferenced move by [[User:SndrAndrss]]"
Egal International Airport,Hargeisa International Airport,0,
Graupel (snow),Graupel,0,[[WP:RM]] request; unneeded disambig with non-useful history
Robert Powell,Robert Powell (actor),0,about to create an article about Robert Powell (author)
"Brent, Oklahoma",Brent CDP (Oklahoma),0,Rename per US Census conventions to make room for actual community
"Briggs, Oklahoma",Briggs CDP (Oklahoma),0,Rename per US Census conventions to make room for actual community
List of physics formulae,List of elementary physics formulae,0,These are high-school/freshman college formulas
Agathiphagoidea,Agathiphaga,0,use lowest rank per [[WP:TOL]]
"Bell, Oklahoma",Bell CDP (Oklahoma),0,rename per us census conventions
"Cayuga, Oklahoma",Cayuga CDP (Oklahoma),0,rename per us census conventions
Lowell Perry,Lowell W. Perry,0,add middle initial
"Christie, Oklahoma",Christie CDP (Oklahoma),0,rename per us census conventions
Algae eater,Gyrinocheilidae,0,There are other Algae eaters that don't belong to Gyrinocheilidae
"Cedar Crest, Oklahoma",Cedar Crest CDP (Oklahoma),0,rename per us census conventions
John Rock,John Rock (American scientist),0,There is more than one famous John Rock
"Cherry Tree, Oklahoma",Cherry Tree CDP (Oklahoma),0,rename per us census conventions
"Chewey, Oklahoma",Chewey CDP (Oklahoma),0,rename per us census conventions
"Dodge, Oklahoma",Dodge CDP (Oklahoma),0,rename per us census conventions
"Dennis, Oklahoma",Dennis CDP (Oklahoma),0,rename per us census conventions
"Dotyville, Oklahoma",Dotyville CDP (Oklahoma),0,rename per us census conventions
Evelyn Darby,Douglas Darby,0,
"Eldon, Oklahoma",Eldon CDP (Oklahoma),0,rename per us census conventions
Luis Hernández,Luis Hernández (football player),0,
The Workmen's Circle (Arbeter Ring),Arbeter Ring (Workmen's Circle),0,match article
Tantieme,Tantième,0,restored original title. this is name. Names are used in original spelling
Saint Gregory Barbarigo,Gregory Barbarigo,0,per [[WP:NCWC|naming conventions]]
Sunny (Morrisey Song),Sunny (Morrissey Song),0,Spelt Morrissey wrong.
List of films about extraterrestrials,List of films featuring extraterrestrials,0,more appropriate title
The lynching in Ramallah,Lynching in Ramallah,0,remove 'the' from title as per [[WP:NC]]
"Greasy, Oklahoma",Greasy CDP (Oklahoma),0,rename per us census conventions
Saint Muiredach,Muiredach,0,per [[WP:NCWC]]
Carrie (television movie),Carrie (2002 film),0,naming conventions; requested at [[WP:RM#Uncontroversial proposals]]
Joachim,Joachim (Star Trek),0,Move debacle
Barbara Moore (Playmate),Barbara Moore (model),0,slightly less specific disambiguation
Keith Campbell,Keith Campbell (biologist),0,Disambiguation
Catherine Jagiellon,Catherine Jagellonica of Poland,0,revert move by [[User:Logologist]] back to English-language name and Wiki format for queen consorts
.hack//INFECTION,.hack//Infection,0,"Conforming to MOS policy, see talk page."
"Liberty, Oklahoma",Liberty town (Oklahoma),0,rename per us census conventions to make room for actual communities
Andrea Anders (actor),Andrea Anders (actress),0,She's an actress not an actor. She's female. Duh
"Dry Creek , Sonoma County",Dry Creek (Sonoma County),0,better style
Mr. Bob Backlund,Bob Backlund,0,
SVU - Czechoslovak Society of Arts and Sciences,Czechoslovak Society of Arts and Sciences (SVU),0,use of the official name
Pedro Nava,Pedro Nava (writer),0,Create a disambiguation page.
List of companies headquartered in San Diego,"List of companies headquartered in San Diego, California",0,more consistent with similar articles
Fyodor,Fyodor (disambiguation),0,primary usage is Gordon Lyon
Ontario Progressive Conservative leadership conventions,Progressive Conservative Party of Ontario leadership conventions,0,
The 500 Greatest Albums of All Time,Rolling Stone's 500 Greatest Albums of All Time,0,per talk page discussion....this is a less POV name
The 500 Greatest Songs of All Time,Rolling Stone's 500 Greatest Songs of All Time,0,less POV name...per earlier change with the album article
Nishi Takeichi,Takeichi Nishi,0,"oops, second move - apparently Western order for people born after 1868"
Notre Dame Academy Girls High School,"Notre Dame Academy (Los Angeles, California)",0,The official name is Notre Dame Academy. Since there are several Notre Dame academies in the U.S. a city needs to placed to differeniate it.
The Concert of Europe,The concert of europe,0,
Malik ibn Ashter,Malik al-Ashtar,0,incorrect name
Technology of the Allies (Red Alert series),Allied technology of Command & Conquer,0,"Added game title, gives more context"
Assassinations and murders during the Sri Lankan civil war,Assassinations and murders attributed to the LTTE,0,[[Talk:Assassinations and murders during the Sri Lankan civil war#New more neutral title]]
Banco de Portugal,Bank of Portugal,0,English
Atma singh,Atma Singh,0,
Presidents' Day (United States),Presidents Day (United States),0,"The holiday is not owned by the presidents, therefore no apostrophe is necessary.  Sadly, most fail to understand this simple rule"
United States House Science Subcommittee on Energy,United States House Science Subcommittee on Energy and Environment,0,correct subcommittee name for the 110th Congress
United States House Science Subcommittee on Research,United States House Science Subcommittee on Research and Science Education,0,moved article to reflect updated name and jurisdiction in the 110th Congress
Where Do We Go From Here?,Where Do We Go from Here,0,
Walter Murray Collegiate,Walter Murray Collegiate Institute,0,This is the institutes's full name.
Rusi P. Taleyarkhan,Rusi Taleyarkhan,0,moving to common name; requested at [[WP:RM#Uncontroversial proposals]]
Hassanal Bolkiah,"Hassanal Bolkiah, Sultan of Brunei",0,
"Michigan 8th congressional district election, 2006","Michigan's 8th congressional district election, 2006",0,
Spider-Man (video game),Spider-Man (2000 video game),0,more specific disambiguation
Dialogue,Dialog,0,Spelled incorrectly
Grave of Wilhelm von Bibra,Wilhelm von Bibra,0,makes more sense
Parodius Da! －Shinwa kara Owarai e－,Parodius Da!,0,inaccessible
Shenyang Ginde,Changsha Ginde,0,
Kalasha-mun language,Kalash language,0,most common name
Saint Nicodemus the Hagiorite,Nicodemus the Hagiorite,0,avoid honourific
WMAX (FM),WMAX-FM,0,moved to proper call sign per FCC FM query
Velp,Velp (disambiguation),0,
International cue club,International Cue Club,0,standardize capitalization
Mike 'Nug' Nahrgang,"Mike ""Nug"" Nahrgang",0,"According to the MoS, double quotes rather than single quotes should be used."
Cinema of Ukraine2,Cinema of Ukraine,0,Automated revert of mass page moving.
List of The Replacements Episodes,List of The Replacements episodes,0,
Nikolay Vladimirovich Mezentsev,Nikolay Mezentsev,0,patronymic unnecessary
Canelé,Cannelé,0,that's how it's spelled
"""Them""","""Them"" (King Diamond album)",0,to distinguish from the s/t album by [[Themselves|Them]]
Asatru Folk Assembly,Ásatrú Folk Assembly,0,"Analoge to Asatru, and the official name includes the accents"
Paz(disambiguation),Paz (disambiguation),0,spacing
P2P Funding,Crowdfunding,0,Crowdfunding comes directly from crowdsourcing. The huge diference between them is srowdsourcing is about community intiated opensource and crowdunding is community intitiated financing.
Steve Johnson and Kayla Brady,Steve Johnson (fiction),0,
Masada (rifle),Magpul Masada,0,
Irish Potato Famine (1845–1849),Irish Potato Famine,0,no need for disambiguation; requested at [[WP:RM#Uncontroversial proposals]]
Airtel,Airtel (FBI),0,"Bharti Airtel, the Indian mobile phone operator known simply as Airtel, has many more links to it than this article."
The Holocaust enjoying BRIAN PEPPERS DAY???,The Holocaust,0,revert
Next of Kin,Next of Kin (TV series),0,
Disclosure,Disclosure (information),0,
Erika Ortiz Rocasolano,Érika Ortiz Rocasolano,0,
Rambo IV: Pearl of The Cobra,John Rambo (film),0,New name of the film.
Isgandar Hamidov,Iskender Hamidov,0,most common name in English...
Indian (airline),Indian Airlines,0,"parenthetical name unneeded, govt uses form Indian Airlines"
Islamic view of Issac,Islamic view of Isaac,0,
St Mark's tower,St Mark's Tower,0,capitalisation
Routing protocols,Routing protocol,0,singular not plural
Oswald the Unlucky Rabbit,Oswald the lucky Rabbit,0,
"Cape Leveque, Western Australia",Cape Leveque (Western Australia),0,per convention
Gascoyne region of Western Australia,Gascoyne (Western Australia),0,per convention
Rich shapero,Rich Shapero,0,correct capitalization
Home (Daughtry),Home (Daughtry song),0,naming conventions
One Island East/Temp,One Island East,1,replacing copyvio
Charles Stuart (general),Charles Stuart (British army officer),0,"more appropriate disambiguation, was not a general all his career"
Aprilia RS 125,Aprilia RS125,0,There is no space between RS and 125.  See [[Aprilia RS250]].
Differential (mathematics),Differential (calculus),0,better name
Heinrich Engelhard Steinweg,Henry Steinway,0,most commonly known in English by his anglicized name
Saint Baithen,Baithen,0,per [[WP:NCWC]]
TER Champagne-Ardenne,TER Champagne Ardenne,0,Check the website... Don't you think I did that when I purposely created the page ?
"Australian plebiscite, 1977 (National Song)","Australian plebiscite, 1977",0,
"Bay Bulls, Newfoundland and Labrador",Bay Bulls,0,The qualifier is unnecessary as the title is unique.
Saison,Saison (ale),0,Disambiguaition
Artificial powered exoskeleton,Powered exoskelleton,0,"""Artificial"" is already implied, and unnecessary in title."
1972 baseball strike,1972 Major League Baseball strike,0,"""baseball strike"" could describe any league, in any country.  This is a more accurate title."
"Furubira District, Hokkaido","Furubira District, Hokkaidō",0,macrons
George Owen (hockey),George Owen (ice hockey),0,moved to naming standard.
List of basic agriculture topics,List of agriculture topics,0,
What Goes Around...,What Goes Around... Comes Around,0,"I agree with user Ericorbit, the name of this article should be the same as labeled in the single cover, makes more sense!"
"Thomas Mowbray, 2nd Earl of Nottingham","Thomas Mowbray, 4th Earl of Norfolk",0,
Wort liquid,Wort (brewing),0,"Disambiguation page in place at wort; ""wort liquid"" is not a common term"
Xueta/translation,Xueta,0,Good to go.
Demographics of mainland China,Demographics of the People's Republic of China,0,per move request on talk page
Systems Analyst,Systems analyst,0,correcting capitalization; requested at [[WP:RM#Uncontroversial proposals]]
Jdbgmgr.exe (computer virus hoax),Jdbgmgr.exe,0,no need for disambiguation (target redirected to source); requested at [[WP:RM#Uncontroversial proposals]]
Union of voters,Union of Voters,0,better
Creditist Realignment of Quebec,Parti créditiste,0,restore most commonly recognized name
Rachael Blake,Rachael Blake (Australian actress),0,disambiguation needed
In the Pink (disambiguation),In the Pink,0,"disambig -- putting it in front, for now, no objection if somebody wants to move these around a bit"
Dryandra,Banksia ser. Dryandra,0,new taxonomy
Murcia (autonomous community),Autonomous Community of Region of Murcia,0,It's the legal name of this community
Nayar,Nair,0,"Nair is the accepted spelling, not ""Nayar""."
Andrew Kenny (Singer),Andrew Kenny (singer),0,Capitalisation of qualifier
Lichtenstein,Lichtenstein (disambiguation),0,will redirect this page to Liechtenstein (country is most important)
Rosemary's Baby,Rosemary's Baby (film),0,"Seperating it into two articles, one for the novel and another for the film."
Joseph Heller/Temp,Joseph Heller,1,Replace copyvio
David Leonard,David Leonard,1,
DI Neil Manson,Neil Manson,0,Character name
DC Jo Masters,Jo Masters,0,Character name
Kottarakara Sree Mahaganapathy Kshethram,Kottarakkara Sree Maha Ganapathi Kshethram,0,"name change, fix up
"
Ginkan,Silver Knight,0,
Shaanxi Chanba,Shaanxi Baorong,0,this club change the name
Yataro Iwasaki,Iwasaki Yataro,0,name ordering per WP:MOS-JP
"Smad proteins, inhibitory",I-SMAD,0,more standard name format
I Am Weasel,I. M. Weasel,0,
Scheufele,Dietram Scheufele,0,full name
Convallaria,Lily of the Valley,0,will explain on talk page
List of cities in the Palestinian territories?,List of cities in the Palestinian territories,0,oops.  removing question mark from title.  sorry.
Dragon Ball Z: Budokai 4,Dragon Ball Z: Budokai Tenkaichi,0,Page was moved for no reason.
Trey Day (album),Trey Day,0,no need for disambig
Royal Family of Norway,Norwegian monarchy,0,"As per [[British monarchy]], this page is not about the Royal Family"
Antar Bin Shaddad,Antar bin Shaddad,0,bin is not usually capitalized
Archive Article,Archive article,0,No capital
Raleigh Elite,Cary RailHawks U23's,0,name change
Computer and video game packaging,Video game packaging,0,per change at [[WP:VG]]
"Long, Oklahoma",Long CDP (Oklahoma),0,rename per us census conventions
Faile (artist),Faile (artist collective),0,Faile is an artist collective rather than just one singular artist.
"Park Hill, Oklahoma",Park Hill CDP (Oklahoma),0,rename per us census conventions
Otsuka Station (Tokyo),Ōtsuka Station (Tokyo),0,macron
Shh (disambiguation),Shh,0,revert
Edith jacobson,Edith Jacobson,0,forgot capitalisation
Mukubird,Staravia,0,English name revealed.
Mukuhawk,Staraptor,0,name change
Korotok,Kricketune,0,name change
Ravnica: City of Guilds,Ravnica,0,Isn't typically known by the COG name
Paperdoll (Kittie),Paperdoll (ep),0,correct title in accordance with Wikipedia naming conventions.
Athletics at Rutgers University,Rutgers Scarlet Knights,0,per move request; see talk page for discussion
Azadari on Muharram,Azadari of Muharram,0,
Georgiadis,Georgios Georgiadis,0,
Nesu,Ness,0,
List of banks in mainland China,List of banks in the People's Republic of China,0,Country name
Robert Bowman (disambig),Robert Bowman (disambiguation),0,moved to standard DAB name
Bulbul,Bulbul (bird),0,disambiguation
The Legacy,The Legacy (album),0,Need to create a disambiguous page.
Julinho,Júlio Botelho,0,Incorrect Full name.
MPH,MPH (disambiguation),0,10 out of 10 refer to miles per hour. see jfk.
Canadair Cl-41,Canadair Tutor,0,preliminary to getting rid of this article
Catbalogan City,"Catbalogan, Samar",0,not a city yet
"Beam me up, Scotty","Beam me up, Scotty!",0,
Everytime I Die,Everytime I Die (song),0,Differentiate this article about a song from the band with the same name
Juan Maldonado Jaimez Junior,Juan Jaimez Junior,0,Full name is not the policy. Check project.
Jingjiu Railway,Jingjiu railway,0,
Joe Dempsie,Joseph Dempsie,0,move to actual name
Havildar Ishar Singh,Ishar Singh (Battle of Saragarhi),0,
Wilfred Baker,Wilfred Baker (politician),0,disambiguation
Domirror,Bronzor,0,
"Vallenar, Chile",Vallenar,0,
The Government (of Toronto),The Government,0,undo improper page move
Dingri,Dhingri,0,correct Tibetan naming
BBC television idents,History of BBC television idents,0,The article is effectively already historical and is being rewritten as such.
In questa Reggia,In questa reggia,0,Correct capitalisation in Italian.
USS Thomas,USS Thomas (disambiguation),0,Make way for main article named USS Thomas
GoldenEye (disambiguation),Goldeneye (disambiguation),0,more general title
Padre Las Casas,"Padre Las Casas, Dominican Republic",0,make space for disambig page
Precious Moments (disambig),Precious Moments (disambiguation),0,corrected disambig spelling to disambiguation
K-171 (Kansas highway),K-171 (east),0,There's another K-171
United States coinage,Coins of the United States dollar,0,Per [[Wikipedia talk:WikiProject Numismatics#Coin and banknote article naming scheme (long over due topic)]]
Characters from the Inheritance Trilogy,Minor characters from the Inheritance Trilogy,0,People may become confused from the title
Grammar nazi,Grammar Nazi,0,"""Nazi"" should be capitalised, even if it sometimes isn't by the ignorant, given that it is a reference (even jokingly) to the Nazi party."
"Union Town, New Jersey","Union Hill, New Jersey (Hudson County)",0,"That was the name of the town, as seen in cited sources.  County specification is for disambiguation with town of same name in Morris County."
Bolzano,Bolzano-Bozen,0,"move to official double-name in order to reflect ethnic composition, see [[Trentino-Alto Adige/Südtirol]] as guideline. Put Italian name first in order to reflect majority makeup followed by indigenous German name"
Namdaemun (disambiguiation),Namdaemun (disambiguation),0,misspelt
Tumba (music),Tumba (music genre),0,"making more specific, other musical meanings exist"
The chosen one,The Chosen One,0,
Birbhum district,Birbhum,0,dist is not part of the name
E.t.e,Comet,0,rvv
Queen Charlotte Islands Caribou,Queen Charlotte Islands caribou,0,capitalization
Wheaton academy,Wheaton Academy,0,reversing incorrect redirect
Taha (disambig),Taha,0,needless and ill-spelt disambiguation
East Anglian derby,East Anglian Derby,0,Incorrectly moved to lower case d. Referred to with a capital.
Fuck Me Pumps (song),Pumps (song),0,
Mikhail Makarenko,Michail J. Makarenko,0,"All stories to which this article links refer to him as ""Michail"".  And it is not as if in Russia the Latin alphabet had been used for his name."
Huracán (disambiguation),Huracán,0,Disambiguate there
Relative gain (International Relations),Relative gain (international relations),0,
Timeline of the Anglo-Saxon invasion and takeover of Britain to Timeline of Anglo-Saxon England,Timeline of the Anglo-Saxon invasion & takeover of Britain,0,"typo
"
Lunar letters,Moon letters,0,more commonly used translation
Niggardly,Controversies about the word niggardly,0,Scope of the article has changed.
