article,first main,first talk
Patrick Spiller (Casualty),20110926102003,20100203184026
The Most Extreme,20110926101547,20060204134327
Indians in Afghanistan,20110926115024,20100426122934
Cuma (Euboea),20110926195943,20060610193152
Rocky Mountain Elk,20110927062403,20100227142310
Communication in Entrepreneurship,20110927185106,20110908161205
Ross Laidlaw,20110927213510,20090930080358
Schneier's Law,20110928020054,20110920041843
Pretoria North High school,20110928062313,20110926082640
Joli Chaos,20110928085608,20090912121357
Tengmalm's Owl,20110928142826,20070303001446
Boy Wonder (producer),20110928204836,20100311195059
Journal of Civil Engineering and Management,20110929063532,20110901094444
Manor,20110929084430,20081126003233
Italian Libya Railways,20110929165250,20101213164847
Italians of Ethiopia,20110929165600,20091107031932
Rezvanshahr (disambiguation),20110929181508,20081128062049
Richard Ross (disambiguation),20110930011150,20060511190325
Rose DeWitt Bukater,20110930011313,20050518022325
"U.S. Post Office and Courthouse (Shreveport, Louisiana)",20110930044909,20101103183811
"U.S. Courthouse and Post Office (Aberdeen, Mississippi)",20110930050650,20101104174138
"U.S. Post Office (Astoria, Oregon)",20110930051409,20100303184358
"U.S. Post Office (Belvidere, Illinois)",20110930051516,20080516202523
"U.S. Post Office (Kemmerer, Wyoming)",20110930051615,20081025174723
"U.S. Post Office and Courthouse (Ogden, Utah)",20110930051953,20101026013740
The Lords of Salem (film),20110930191035,20100927045312
"U.S. Post Office and Courthouse (Bismarck, North Dakota)",20111001021804,20101105131155
"U.S. Post Office (Torrington, Wyoming)",20111001045833,20081025175733
"U.S. Post Office (Newcastle, Wyoming)",20111001052344,20081025173945
Sankarananda Matha Burial-Temple -I,20111001083647,20110905015648
Sankarananda Matha Burial Temple-III,20111001083718,20110905020345
Bharati Matha Burial Temple - VI,20111001085105,20110927061335
Bharati Matha Burial Temple - IV,20111001085137,20110830161216
Seemanta engineering college,20111001094208,20070905193915
Telephone numbers in Czech Republic,20111001194036,20110927215702
Telephone numbers in Faroe Islands,20111001194134,20110929122439
Telephone numbers in Isle of Man,20111001194235,20110912204642
Telephone numbers in Netherlands,20111001194330,20110927215709
Telephone numbers in Republic of Ireland,20111001194418,20110927215719
Telephone numbers in Republic of Macedonia,20111001194508,20110927215624
Telephone numbers in United Kingdom,20111001194615,20110927215649
Airman first class,20111002165206,20040327064709
"U.S. Post Office and Courthouse (Quincy, Illinois)",20111002204108,20101102182442
"U.S. Post Office (Hollywood, California)",20111002212157,20080602045229
Layman,20111002213005,20071106135751
Person-centred thinking,20111003095422,20111001233514
FBLA-PBL,20111003165214,20051117030558
Show Out (song),20111003213308,20100608154736
Show Out,20111003213417,20081013172449
Castleford RFC (1896) (Rugby League),20111004115702,20110912115018
Baha'a Abdul-Rahman,20111004204018,20110118001335
Well of Death,20111005092117,20100807011816
Siouan–Catawban languages,20111005111723,20060211203616
Mbrlen,20111005162306,20111004064704
"City Island, New York",20111005194932,20060605105751
Tedd,20111005212925,20090304232738
"U.S. Post Office, Courthouse, and Customhouse (Wilmington, Delaware)",20111005213608,20101019034925
"U.S. Post Office and Courthouse (Rock Hill, South Carolina)",20111005223636,20101101151907
Changling Rinpoche,20111006034722,20110601184918
Philippi (disambiguation),20111006035621,20081127172314
Coast Pilots,20111006075207,20070326050749
Thai Binh City,20111006140733,20101023003659
"Kavar, Fars",20111006193208,20100208220400
Most Beautiful Girl in Nigeria (Pageant),20111006220627,20080223001038
Dmitriy Upper,20111007030336,20080613200931
Pacific Screech-owl,20111007074158,20070724201711
Foothill Screech-owl,20111007074354,20110125195657
Montane Forest Screech-owl,20111007074435,20070724201751
Screech-owl,20111007074608,20080412170500
Whip-poor-will,20111007075352,20060308004059
The World's Billionaires,20111007085617,20100311091703
Baqiyatallah University of Medical Sciences,20111007093629,20070531232606
YZ Canis Minoris,20111007112506,20101030204944
Budget of the United Kingdom,20111007125541,20071113031729
Workplace relationships,20111007171137,20111005195704
Mathur (disambiguation),20111007183030,20081126034501
Cherdyn (inhabited locality),20111007190437,20100820134846
History of the Gibson Guitar Corporation,20111007192926,20110321131717
Firehawk (comics),20110930051119,20051229004221
"Centerton, New Jersey",20111008153719,20110816004306
Galaxy Nexus,20111008180834,20110827220924
Cooked on Phonics,20111008182826,20061005205340
Anna Myrberg,20111008221600,20111004032408
Frank LaRose,20111008233107,20101114170041
Igualada Hoquei Club,20111009130526,20100723100246
Playing cards in Unicode,20111009134355,20111008023939
Samantha Brookes,20111009144546,20111004133726
Labo language,20111009214442,20111007143113
University College South,20111009215047,20100928045807
Alicia Reece,20111009224422,20100305084756
Aqua Teen Hunger Force (season 8),20111009234114,20110425021206
No. 40 Squadron SAAF,20111010135247,20090110001414
Alamarvdasht,20111010203334,20100208214044
St. Francis Brooklyn Terriers men's basketball,20111010205145,20110818200153
Richard Hollington,20111010223324,20100504135054
New Meadowlands Stadium,20111010224627,20110823172104
Belgic Confession,20111011110428,20060323165115
Eega,20111011131315,20110919154002
Sophia Lvovna Perovskaya,20111011142058,20061031203934
William Schuyler Jackson,20111011184454,20080527205937
Christina Hagan,20111011214547,20110305030033
Scott Oelslager,20111011223722,20100504143014
Daum (disambiguation),20111011224045,20081119072240
"U.S. Customs House and Post Office (Pensacola, Florida)",20111012022150,20060926193956
Ekulo Senior Secondary School,20111012114849,20110921070321
Paisley Pirates Ice Hockey Club,20111012121734,20060125125809
Matchbox,20110103031612,20081126033713
Victoria May Budinger,20111012135611,20061002234233
Second voyage of James Cook,20111009153130,20101102012952
Hồng Ngự Town,20111012190137,20110806204657
French penal code of 1791,20111013153512,20081115164430
Grey2K USA,20111013183015,20111011175839
Atan (c),20111013203314,20111010225757
Haverford Senior High School,20111014144258,20091104031518
Fabulous Five,20111014153547,20100402152052
Rufino Jiao Santos,20111014155537,20070812115121
Manfest,20111014192952,20111013181727
Caviyarí language,20111015111227,20080425194151
Racial wage gap in the United States,20111015200248,20111012020811
Lee Quinones,20111016045900,20060714224514
Sherpa (disambiguation),20111017090646,20081129000244
Ahmad Wali,20111017111620,20070129191646
Paulus Pontius,20111017143714,20090119185647
2011–12 KML season,20111017154941,20111006202814
Terra Nova (1932 film),20111017174810,20090503074602
Udung language,20111017195812,20070417211020
Cocoon (Meg & Dia album),20111017222046,20110713030017
Islamabad-e-gharb,20111017232808,20110806203350
Timberlake v. the State,20111018002351,20080320095123
Songhor,20111018013659,20061031053759
Bows and Arrows,20111018070214,20060412025105
Real estate investor,20111018162055,20071219164554
Craig Barrett (businessman),20111018163323,20021101203448
Sarva Shiksha Abhiyan,20111009155947,20061028075444
List of Miss Model of the World winners,20111018222254,20110922215654
Giant cell arteritis,20111019004158,20080530001421
Self Defense Family,20111019042347,20090531074535
New Enterprise Associates,20110814045716,20051104005729
Electrical burn,20111019054917,20100525134041
EAthena (software),20111019193231,20101118224240
Cycling infrastructure,20111019214331,20110905083909
Al Fateh University,20111019222115,20090823063830
Mantanani Scops-owl,20111020134414,20110922142121
24/7: The Passion of Life,20111020195017,20071121085122
FNB Stadium,20111020215829,20060606221738
Oshnaviyeh County,20111020232333,20100208222507
Chaldoran,20111020232739,20080301012026
Hojuelas,20111021005759,20100404005219
Horand,20111021184455,20091007165549
Gbaya language,20111022001728,20081121224159
Zonouz,20111022003400,20100208223558
It's Always Stormy In Tillamook,20111022062756,20110107031633
Vinita Vasu (Artist),20111022071642,20111012155329
Hornbill festival,20111022081015,20111016134354
Paul Lapinski (Audio Engineer/Mixer/Producer),20111022090424,20111019084902
Thayikkundam river,20111022091105,20110920014944
East Sudanian savanna,20111022163931,20080130082422
Payment systems in india,20111022170913,20111013004256
Kalenjin language,20111022182055,20070414191231
Hardwired control,20111022182126,20070517014539
Bryan (surname),20111022194109,20050922032139
Coping strategies,20111022200512,20100306033217
Strpbrk,20111022220156,20111010225226
Strcoll,20111022220801,20111010225543
Putwc,20111022220828,20111010225444
Gmtime,20111022220939,20111018173003
Getenv,20111022221030,20111010225241
Conj,20111022221157,20111010225253
Asctime,20111022221225,20111010230806
Jesse Alexander (TV producer),20111022232633,20071117025649
Resource Consumption Accounting,20111022232907,20080909192951
Megatron (Transformers),20111022233907,20041016235633
Sufiyan,20111023022421,20091007163856
Begum of Bhopal,20111023135114,20060311232855
Florida International Golden Panthers football,20111023162113,20070324200806
Moroccan (disambiguation),20111023163046,20091208050815
"Heris, East Azerbaijan",20111023183752,20070608153355
"Athletics at the 2011 Pan American Games – Men's 5,000 metres",20111024212637,20110826035111
Mbam–Nkam languages,20111024215537,20101005000852
Anubias barteri var. barteri,20111026154833,20090307161839
"Otoka, Bosanska Krupa",20111026175153,20110509170930
Guadalajara trolleybus system,20111027010354,20111025143328
Mexico City trolleybus system,20111027010500,20111024164814
Higher criticism,20110927054820,20021213021323
Foreign relations of Haïti,20110709043607,20061215065850
List of topics in mathematics,20110724025733,20020419112133
Collective Induction,20111027154930,20070817143206
Payday The Heist,20111027155054,20111024185116
1 E3 s,20100313144726,20071017141005
Learches,20110104024922,20080119005826
Savara language (disambiguation),20111028191728,20081128193947
Periodic table block,20110823210602,20020916141249
Mainlander (China),20110515201751,20030415095426
Rainbow Rising,20060414155147,20040325201403
Wuer Kaixi,20070401210715,20030318110209
Timeline of Afghanistan (January 2003),20090411103909,20070203235238
Fork-tailed swift,20111029130018,20061205041200
Pek Cowan,20111029141835,20090819224923
Uropi (constructed language),20111029142430,20100903102014
Onyumishi Kanjuro Shibata XX,20030401010539,20030323043717
TIA-568B,20050515212849,20040730073412
List of French newspapers,20060212161438,20050505122305
William Direen,20111030092554,20061125020230
Dazed and Confused,20111030151939,20061226083730
Gbati-ri language,20111030164433,20070410040715
North and West London Light Railway (proposal),20111030221746,20090827200634
Onondaga (geological formation),20111030225236,20080601035115
Joe Cool's Dodgem School,20111026110524,20111023150156
West Indian cricket team in India in 2011–12,20111031001126,20111029163230
7.62x39,20071124224805,20051224013435
Cartier Book,20100824132809,20080715140332
Tam Điệp District,20111031033947,20080201024626
Mark Gibson (racing),20111031035431,20060604004426
Vince Van Patten,20101007202643,20060203110125
Paul Wolfe (racer),20111031045322,20050707160148
Financial mathematics,20051120091424,20030626101439
Moses Haim Montefiore,20051223164858,20030411210426
Elimidate,20111031135429,20051217054032
Javier Culson Pérez,20111031150422,20090531001748
Canada – Ireland relations,20111031171353,20080414124941
Tantya Tope,20110114172409,20060312202915
Riot grrl,20050218051619,20040310102226
The History of the Country of Albania,20111101105750,20070925055031
GNU gettext,20111101115404,20080907235948
New Zealand – Russia relations,20111101123505,20080622184027
Somosomo Strait,20111101153638,20110726011436
SB Nation,20111101050147,20090316025146
Boomer lake,20111101220202,20111026171025
To The Stars (Song),20111102020049,20111029041526
DreamWorks SKG,20050218210452,20041128173415
Ghost of A Lovely Maiden,20070204172140,20030413012334
Diego de Buen,20111102161048,20110430000919
Beyonce: Live at Roseland,20111102204134,20111030080104
Absard (Tehran),20111103020554,20110816051427
Central District (Damavand),20111103024134,20110816051533
Rudolph Réti,20100812000835,20070329223555
Preliminary messenger RNA,20060819233714,20060730093954
EuroMiniStorage,20111103125143,20111101120605
Guild 01,20111103162121,20111024130628
The Man from Nowhere (comics),20111103184341,20070429222250
Three Worlds; or Plan of Redemption,20111103194315,20071125213325
Patrick Walker (disambiguation),20111103205735,20080617013324
"Shahriar, Tehran",20111103215017,20080702135238
Transitivity (mathematics),20111104030638,20081118140748
"Newtoy, Inc.",20111104033233,20110310081124
Handball Challenge,20111104033556,20111029024424
Ministry of National Defense of China,20031118090313,20031030043034
March of the Dinosaurs (film),20111104045323,20110713010727
Nizam-ul-Mulk,20111104134610,20111027233457
Bay-crowned Brush-finch,20111104173026,20070725053005
Structural inequality,20111103161837,20111015201806
The Citadel Bulldogs football,20111104193917,20100402183303
Craig Newbold,20111104203011,20101111154900
Publius Cornelius Scipio Africanus Major,20050423152251,20050420145518
Chicken & Beer,20060706195035,20050416195952
Economic history of Britain,20081109112400,20040720231836
Jam-band,20030430225443,20030429211354
Panachaiki G.C.,20101106085216,20061010172818
Syriac Universal Alliance,20111105123524,20110111061138
Ones' Complement,20111105164233,20110128221414
Al-Nurayn Mosque,20111106182001,20110906203705
Joe Boys,20080114080454,20070331162708
The Heraldry Society (New Zealand Branch),20080814044348,20060915113215
Larry Hopkins,20111106210044,20111029022449
"Nasirabad, Pakistan",20080901221359,20061106004841
DD172,20111106234451,20111014202636
Test (student assessment),20100817160214,20030726035420
NFL Game Pass,20111107023549,20101003034132
QUEL,20070329141807,20041129213959
Social Anthropology,20060821204631,20030507150833
Microsoft .NET Passport,20050529011739,20030912143237
Soft drug,20051111231311,20041129181725
Gyrinocheilidae,20070305213242,20031212100439
Kandang Kerbau Women's and Children's Hospital,20111107113408,20061120005757
Sweet and sour sauce,20111107115054,20050825190248
Health Care in France,20111107140658,20090810143012
St. Francis College Terriers men's basketball,20111107215150,20111010205802
Lowell W. Perry,20111107225204,20070222231807
Beatrix da Silva,20111108033655,20070216070907
Shoot Boxing World Tournament 2008,20111108043230,20081107082619
Shoot Boxing World Tournament 1997,20111108043239,20110907104313
Qsort,20111108084941,20100106063415
Tricking (martial arts),20111108090823,20080223005356
Thomas Bourchier,20111108143250,20070406005032
Arya-2 Ek Deewana,20111108155704,20111102155457
Qnet,20111108201537,20090521194601
B. I. Pankratov,20111108203310,20100611025734
United States – Zimbabwe relations,20111108210407,20080227224807
United States – Zambia relations,20111108210418,20080227224744
United States – Yemen relations,20111108210431,20080918071807
United States – Vietnam relations,20111108210442,20080227080937
United States – Venezuela relations,20111108210452,20060127112952
United States – Vanuatu relations,20111108210500,20081015112635
United States – Uruguay relations,20111108210550,20110112070459
Kosovo – United States relations,20111108211218,20080228002559
Norway – United States relations,20111108211858,20080228013323
Republic of Macedonia – United States relations,20111108212206,20090713234314
Belize – United States relations,20111108212502,20080228002819
Benin – United States relations,20111108212720,20080227223020
Iran–Palestinian relations,20111108220007,20070404201315
India – Saudi Arabia relations,20111108220515,20100304060301
People's Republic of China – Egypt relations,20111109003009,20101008171152
China – Malaysia relations,20111109005449,20100617053756
People's Republic of China – Iran relations,20111109005913,20101031005106
China – Indonesia relations,20111109005947,20080715123037
Czech Republic – Kosovo relations,20111109015848,20080628042426
Kosovo – United Arab Emirates relations,20111109020813,20090117065133
Argentina – South Korea relations,20111109021756,20090609120033
Japan – United Kingdom relations,20111109022319,20060927005135
Albania – United Kingdom relations,20111109022855,20080827203136
Greece – United Kingdom relations,20111109023240,20070909192937
Germany – United Kingdom relations,20111109023354,20060811230152
Antigua and Barbuda – United States relations,20111109024203,20080226161614
Uzbekistan–United States relations,20111109024614,20110112065355
Greek – United States relations,20111109025411,20070909193747
List of historical monkeys,20050506142424,20040114205840
South Africa – Turkey relations,20111109041731,20090510185808
Greece – South Africa relations,20111109041739,20100206224919
Andhra cuisine,20110227080627,20050413013006
East Side Kid,20051229015553,20030518213948
Municipal Stadium (Zestaponi),20100328112609,20080610160843
List of characters in Atomic Betty,20111109164943,20070825031220
Sidney Anderson,20111109215415,20100722000940
Australia-Malaysia relations,20111109230401,20081205161404
Bell Canada Cup,20080116182948,20071029071333
Lab (disambiguation),20050906043310,20050903201832
Ler LaLonde,20060427000737,20051109211130
Side-slipping,20111110042547,20101218015155
"Maces Springs, Virginia",20080410185409,20070407135955
Anonymous banking,20060201150941,20060128054422
Kuku (food),20111110175322,20110807105552
Sandra Feinstein-Gamm Theatre,20111110222044,20090207005632
"Westend, Berlin",20111110224024,20070129111439
Louis Kravits,20111111000345,20070407122300
RSA (disambiguation),20111111020307,20061205102325
Cord de lys,20030702223159,20030526205436
Bedroom community,20061004183631,20050309222045
Shanghai Jiaotong University,20050629164547,20030529000647
Heroclix,20060719105627,20060310202927
Order (chemistry),20060426211559,20050611173557
Balik (disambiguation),20111111085059,20070714081637
Deathwatch (disambiguation),20111111150051,20060228125217
Convergent Technologies (Unisys),20111112002336,20070427100332
Ross Kettle,20111112020906,20070329203946
Kid (disambiguation),20070820140523,20060421032323
Mono (Ximian),20041210225124,20040623122929
William Robertson (disambiguation),20111113012249,20080616025257
Metal inert gas welding,20050206042712,20050123212324
Hyper operator,20090422075229,20040924171057
Ananias,20080506142850,20061105232028
Naseem Ashraf,20111114001129,20070417205802
Tohru Fujisawa,20071213124447,20070822082549
Walther Model,20060513132916,20050929134911
Malpensa International Airport,20090313114155,20040811220748
Imaginary county,20040720015004,20040405114905
Itaka (disambiguation),20111114180912,20081123021606
Rethimno,20040718121020,20030927103300
Lobster hand,20060803022750,20030414082625
Edmund Charles Tarbell,20081220164726,20070607161510
Apsû,20080907035812,20061017094130
Amarlu,20111115061005,20101010204339
In Your Eyes (2014 film),20111115070654,20111107162955
"Quba, Azerbaijan",20111115151243,20080820225812
Slippery Rock football,20111115160611,20101101200005
Hope For The Warriors,20111115185215,20111112092107
GRK3,20070501132808,20070217011730
Rhona silver,20111115224023,20111109182123
Rock Stars (Documentary Series),20111115224151,20111113030841
Edward Curtis Wells,20111116181850,20070508233840
Ian Payne (New Zealand cricketer),20111116201752,20111115000614
Amycolatopsis orientalis,20111116211151,20080422211051
The short twentieth century,20111117035910,20080103104207
GMX,20111117064155,20070904135442
Estonian–German relations,20111117223736,20081102194231
Egypt-Serbia relations,20111117223841,20111101163434
Argentine–German relations,20111117224322,20090430134507
German–Ukrainian relations,20111117224637,20080325024342
Canadian intellectual property law,20111117235533,20111114171019
Egyptian Rat Screw,20040209024442,20031218212918
Alexander Zemlinsky,20050523214119,20041109134339
Imai Hisashi,20111118155951,20050717232938
Visayan Tarictic Hornbill,20111120065620,20040730060344
Mindoro Tarictic Hornbill,20111120065756,20070724153835
Mongoloid race,20111120171134,20040731062849
Vera Bate Lombardi,20111120215558,20110816220242
"Danios, Devarios and other Danionins",20051128213215,20051127140500
Lamer Exterminator (computer virus),20111120231508,20080625172130
Zotob (computer worm),20111120231714,20081026123010
Code Red II (computer worm),20111120231752,20070208122512
Dabber (computer worm),20111120231824,20080624094555
Bad Times (computer virus hoax),20111120231912,20060812052004
Cotard Delusion,20030813144941,20030720213004
Monoatomic,20111121070841,20090618195942
E-mail bomb,20111121151244,20091225062219
Roman Dacia,20111121161720,20060313180618
Bao Loc District,20111121164912,20090301204213
Aradia (goddess),20111122092400,20030625053729
Francis Tapon,20111122112429,20101206190606
List of CONCACAF countries,20111122131127,20111010074423
"Independent Presbyterian Church (Birmingham, Alabama)",20111122151133,20080205054725
Dance With Me Tonight,20111122160740,20111112181605
Media Data Extended,20111122203746,20110918063910
Macro virus (computing),20111122215001,20081012035429
J.R. Martinez,20111123001206,20090317082242
Santhosh Pandit,20111024145635,20111022223950
You Are the Only One,20111123060534,20111111024808
List of characters in the Blue Dragon series,20111123174742,20080623152105
Saturday Night Takeaway,20111123182027,20080618113543
Graham (Middlesex cricketer),20111123191812,20070602111656
"Cash-in, much?",20111124002041,20080730155324
3rd Infantry Division (Germany),20111124102421,20070101205140
8th Jäger Division,20111124103952,20090401103323
Ranat (musical instrument),20111124180825,20080411031636
Konstance Knox,20111125015730,20111123180432
Stronghold (structure),20111125112814,20050426212912
Cash and Carry (1937 film),20111125181914,20071217193955
Celluloide (film),20111125202556,20100429142104
"Christopher Sharp, QC",20111125211220,20111123155600
Ujian Pencapaian Sekolah Rendah,20111126153006,20110810115759
United States Men's Curling Championships,20111126162637,20080323044820
The secret of Chidambaram,20111126170802,20110226164823
Bay Bulls,20111126193003,20060310184444
Battle of Cape Bon,20111126224751,20051019003416
C♯ (programming language),20111126235823,20090128094639
91:an (comic book),20111127023433,20061111084929
Sinyavino Offensive (1942),20070228212243,20060616144439
Zrêbar Lake,20111127083936,20070131160624
Canadian Open (disambiguation),20111127123134,20100708231622
Raymond Leonard,20111127182353,20110930225147
Effective dose (disambiguation),20111127204328,20111125213438
African U-20 Championship,20111128103620,20111109083941
Thais (American film),20111128182715,20110802211317
United States Women's Curling Championships,20111129043144,20090323100341
Chinese Striped Hamster,20111129060329,20080115173740
"Kuytun, Xinjiang",20111129131137,20071130033531
Rock On (David Essex song),20111129174426,20071221020631
LP Building Products,20111130173052,20111129160625
Irfan (disambiguation),20111130184021,20081123013530
Believe in the Boogie (Mark Owen song),20111130221727,20090520050055
Intro (band),20111201004103,20080422201106
Pashaliman Naval Base,20111201120515,20100618175149
Hungary in the Eurovision Song Contest 2012,20111201140147,20111029220319
Targeted killing,20111201220521,20051206094637
Safe house (disambiguation),20111202050613,20110425213108
Shah Abdul Hannan,20111202190528,20111125200003
Arctic Patrol Ship,20111203215219,20100909000139
List of Birds of Prey characters,20111203215557,20100124041826
MBE,20111204213747,20090815072026
Prolixity,20051014195023,20041025012146
Goulou dialects,20111206000642,20110810022141
"Cedar Creek (stream), Wisconsin",20111206030146,20080706212426
Ōtate no Ran,20110824201149,20071014100840
List of battleships of Greece,20111207140217,20100306151613
"Okara District, Pakistan",20111208032126,20071128071749
I'll Be Home for Christmas (film),20111208054817,20110724191519
"Zhongli, Taiwan",20111208081603,20091117110321
Blanche kelso bruce academy,20111209063649,20111127163307
Tom Mitchell (Australian Footballer),20111209073013,20111204011516
Hải Phòng F.C.,20111209142050,20111023092631
Sajid Khan (Urdu Story Writer),20111210013327,20111126035955
Montrose Star,20111211044940,20111010030954
The Houston Progressive Voice,20111211074658,20111201054957
Tiruchirapalli district,20111212094510,20111024032429
Brian Woodall (footballer),20111212102546,20110811001149
Soft launch (missile),20111212124551,20081213014823
Just Me (Brian Mcknight album),20111213093759,20111211063647
Last exile silver wings,20111213153941,20111212144612
Constitution of Libya,20111213225401,20111030054752
Gippy grewal,20111214112849,20111204001626
Be Here Now (disambiguation),20111214162647,20081117050546
Deaf Studies: Ella Mae Lentz,20111214185427,20111213002356
Mesoporous Organosilica,20111214190440,20111005152331
Chester Valley Trail,20111214211951,20111124000628
El Seibo,20111215004210,20081120143950
Atrius health,20111215131307,20111212183939
Batis (disambiguation),20111216102416,20080312055318
The Cool War (novel),20111216174837,20111130182411
Psst Pink,20111216180122,20090124082210
Pink Campaign,20111216180206,20090124090021
Sink Pink,20111216180228,20111105040342
C.D. Saprissa,20111217005319,20060506045229
Verma,20111217005834,20060604165458
Aleksandr Mirskis,20111217093213,20100404001719
Nikola Firentinac,20111217152433,20111213134927
"Cow Island, Missouri Breaks, Eastern Montana",20111217171556,20110313193424
Cow Island (Montana),20111217171618,20111214213456
Christine Daniels,20111218001840,20070502004833
Disability sport classification,20111218014449,20111213034727
Edward Henry Corbould,20111218230838,20111215083033
Battle of Rastan and Talbiseh,20111219052801,20111204070342
Newsstand,20111219065846,20050704231706
Jeremy Wright (politician),20111219135645,20060814024214
Virgin Australia Short-Haul International,20111220104050,20070325060052
Astronaut (song),20111220183519,20111028175251
Blue grama,20111221064251,20060723035452
Al-Watan (Jordan),20111221091746,20101013175043
Organizational studies,20111221161655,20041024045829
ICSID Review: Foreign Investment Law Journal,20111221162642,20101218003755
Neopaganism,20111221211322,20111122141800
Qnet ltd,20111221212411,20111111153034
Association of Applied Biologists,20111222121341,20110804135416
Phu Soai Dao,20111223092746,20100109162847
KILE,20111224113029,20061118011805
Nine Lives (Deuce album),20111224180532,20111117225850
"Metro (supermarket, Indonesia)",20111224220506,20070224181815
Mark Peterson-Perez,20111225020935,20111212001059
HMS Quebec (1781),20111225132139,20111030185802
Ahl,20111225214024,20111011212823
Round Table class logistics landing ship,20111225234120,20110331111325
"Farnsworth House (Plano, Illinois)",20111227015514,20060617161312
Ecphysis (moth),20111227020809,20091230103210
Sailor (horse),20111227130435,20081117133630
Christina Aguilera: In Concert,20111227132416,20110819042021
Real,20040531011318,20040520214401
Ford Hall,20111228061219,20101107173245
Joel Dexter,20111228162935,20111128205234
East Turkistan Government in Exile,20111228191532,20111220014230
List of songs deemed the worst,20111229070501,20050323092818
Watson Island (Miami),20111230033834,20051221222510
North Eastern Province (Sri Lanka),20111230082715,20100115114555
List of characters in the Rambo franchise,20111230231915,20110224043250
Super Mario Advance,20111231060841,20060701203632
Laurence Whitfield (Artist),20111231085528,20111223184540
Maheshwari,20111231170446,20061224184744
Engels (surname),20111231191738,20081120182945
Halogenoarene,20111231192058,20070914190701
Y-DNA haplogroups by ethnic groups,20120101083701,20080305211655
Richard Knight,20120101124159,20071118225108
List of characters in the Predator series,20120101203409,20070710064816
Western & Southern Open,20120102084042,20070113010023
Edward Amerasakera,20120102140950,20080405021851
John Hotham,20120102215018,20080304121518
JTC1/SC22,20120102235024,20080626115332
Väståboland,20120103120639,20070722085332
2003 Ykkönen,20120103123556,20100325111328
Polygon density,20120103190255,20091022183948
Thousand Pieces of Gold (film),20120103200826,20070406054607
Harland Sanders,20120103214704,20100203222704
"Makarov, Sakhalin Oblast",20120104005313,20070324141036
Democratic Unity Party,20120104053441,20080702033027
Musafir (2011 film),20120104071748,20080604142325
Pai Gow,20120104093622,20050524051158
M01 highway (Ukraine),20120104094819,20080422231818
M05 highway (Ukraine),20120104094838,20080422231843
"Maharaja Agrasen College, Delhi",20120104142247,20061021200711
"Laupen, Bern",20120104204829,20070209192542
Bacolod–Silay International Airport,20120104211234,20070805023552
De La Salle – College of Saint Benilde,20120105024559,20060516101742
Jehovah's Witnesses beliefs,20100813180823,20060828073703
Virtual address,20120105104238,20080925181414
Stripe-necked Tody-tyrant,20120105142909,20090901082032
James Powers,20120105150027,20081123042156
Mahatma Gandhi International School (disambiguation),20120105163311,20120104070016
DC Avanti,20120105164734,20101224141501
Michael Palmer (disambiguation),20120105165818,20080613212614
Da'an District,20120106055327,20090919095144
University of North Dakota Women's Ice Hockey,20120106145923,20100307030702
Dren (name),20120106162612,20060119124838
Spook the horse E.P.,20120106181335,20060523204725
Scarlett L.P.,20120106181634,20090914220810
"Midland Bank building, Manchester",20120106182527,20071102202433
José Márcio da Costa,20120106183517,20070326071322
Wallach,20120106183716,20060501204130
Daichi (disambiguation),20120106185801,20081119043640
Ricky Harris,20120107110350,20100912154010
Road trip (disambiguation),20120107194949,20110607220346
Birthday Cake (song),20120104011529,20110715222058
Waimea Plains,20111229190128,20081221224819
Shorinjiryu Koshinkai Karatedo,20120109033107,20111226044412
Labial clicks,20120109130043,20111102210924
Kirill Pichshalnikov,20120109151810,20110118195503
Israeli settlements,20120109160354,20051222011902
Mercedes Fisher,20120109174512,20110101045503
K Street (disambiguation),20120109193700,20081123162653
Thomas Somerville,20120109212025,20111128014900
Virtual,20120109215928,20060630052507
Las Vegas Hilton (LV Monorail station),20120109234017,20091204234510
Long-tailed Skua,20120110204459,20070113022955
Sussex Swans,20120110231702,20080327031352
Goal! Two (1992 video game),20120111155457,20111213162557
Peter Cochrane (historian),20120111155830,20070620112553
Leica R8,20120111230917,20100412033810
"Complete results of the Canadian federal election, 2004",20120112050044,20050428023105
K. Ravindran,20110110033738,20071030113144
Budapest-Keleti railway station,20120112122620,20091228141230
"Fairbanks, Morse and Company",20120112144816,20090810194529
Buttar,20120113014512,20080713070745
The Werks (American Band),20120113082400,20110729024821
Ji Hyun,20120113085851,20110902002028
"Speakers' Corner, Singapore/version 1",20120113140818,20101018062919
"Climate of Sydney, New South Wales",20120113185351,20090525085423
Greatest Hits Tour (disambiguation),20120114132633,20120112064005
Musmus,20120115013417,20070519082856
Mark Farrington (footballer),20120116033600,20070327235837
Dulquer Salmaan,20120116062932,20111205001014
AVANCE,20120116083957,20081115225548
"Kali, Zadar County",20120116094010,20100822075933
Charles Wilkinson (disambiguation),20120116165722,20091206214442
Bridezilla (disambiguation),20120116175122,20081117151246
Annisis sprightly,20111130182652,20090514073614
Olaf Swantee,20120116180642,20111027001713
Gabriela Marginean,20120117160239,20100420001218
Gwallter Castle,20120117181903,20100401152442
Trinity (DC Comics),20080712143125,20080210203925
"The Miller who was a Wizard, a Cheat and a Matchmaker",20120117232054,20120107211354
Brian Tinsley,20120118000400,20120103183516
Svitlovodskyi Raion,20120118004615,20080401171643
